Name;Price;MarketCap
Bitcoin;$29,702.09;$565,537,617,642
Ethereum;$2,030.84;$245,296,076,985
Tether;$0.9988;$75,664,938,446
USD Coin;$1.00;$51,104,664,833
BNB;$292.78;$47,804,388,968
XRP;$0.4207;$20,338,820,616
Cardano;$0.5438;$18,392,981,626
Binance USD;$1.00;$17,740,264,983
Solana;$51.31;$17,309,803,194
Dogecoin;$0.08807;$11,684,623,783
Theta Fuel;$0.06952;$368,522,981
yearn.finance;$10,033.48;$367,603,663
Livepeer;$14.85;$353,402,164
OMG Network;$2.52;$352,906,207
ICON;$0.3834;$352,550,169
0x;$0.4157;$352,304,471
BORA;$0.3996;$344,152,288
Serum;$1.28;$335,700,485
Moonbeam;$1.23;$335,373,639
Bitcoin Gold;$18.99;$332,592,350
HEX;$0.1331;$23,080,488,212
Wrapped TRON;$0.06864;$6,978,962,001
Lido Staked ETH;$1,991.01;$6,944,090,262
yOUcash;$0.4994;$4,203,933,399
Bitcoin BEP2;$29,686.01;$3,121,431,975
Terra;$0.000321;$2,096,728,930
Toncoin;$1.55;$1,887,173,410
Chain;$0.09166;$1,553,790,859
DeFiChain;$3.03;$1,548,223,413
Frax;$0.9973;$1,480,815,791
Metahero;$0.01615;$82,305,315
VeThor Token;$0.001799;$82,067,385
Bitcoin Standard Hashrate Token;$7.17;$81,882,020
Dawn Protocol;$1.11;$81,826,185
Augur;$7.43;$81,694,372
MyNeighborAlice;$2.66;$81,373,459
ConstitutionDAO;$0.01603;$81,117,640
Verge;$0.004899;$80,855,339
Sport and Leisure;$0.1184;$80,345,420
Bifrost (BFC);$0.07199;$79,916,868
XCAD Network;$2.10;$50,926,073
ONUS;$0.5101;$49,984,546
NEST Protocol;$0.02527;$50,680,976
Loom Network;$0.0502;$50,197,259
Aergo;$0.1359;$49,810,294
Aurory;$5.18;$49,694,117
Efforce;$0.09352;$49,296,962
LCX;$0.0649;$49,132,133
Carry;$0.00559;$49,110,802
Alitas;$0.8084;$48,502,524
